,Features,Coefficients,p_values
58,"int_rate_(15.74, 17.804]",0.2585886444035736,3.323971162781527e-06
59,"int_rate_(17.804, 19.868]",0.19756491492848588,0.00020265580664606574
60,"int_rate_(19.868, 21.932]",0.18159340996786336,0.0003937825554300967
61,"int_rate_(21.932, 23.996]",0.1318192750452153,0.0030636318918400938
62,annual_inc_large_income,0.5071723940163698,3.2839645823391806e-57
63,annual_inc_38K-73.2K,0.15544214743975437,6.744792637943057e-25
64,annual_inc_73.2K-109K,0.37149493662238814,1.1154681402113542e-88
65,annual_inc_109K-144K,0.5035618504277123,4.816757250727341e-80
66,"dti_(-0.04, 2.0]",0.3495248972974115,0.0023518051456387153
67,"dti_(2.0, 3.999]",0.4268179885976692,0.00010750789296574114
68,"dti_(3.999, 5.998]",0.4727545334654432,1.1226365291023123e-05
69,"dti_(5.998, 7.998]",0.4387961418620102,3.635980847185873e-05
70,"dti_(7.998, 9.998]",0.3901683286584077,0.00021562537160407718
71,"dti_(9.998, 11.997]",0.33426041757135144,0.0014513871380880691
72,"dti_(11.997, 13.997]",0.29879318382536113,0.004308426053921368
73,"dti_(13.997, 15.996]",0.31526271510012155,0.0025716800404098714
74,"dti_(15.996, 17.996]",0.22795259788418246,0.029067571986146512
75,"dti_(17.996, 19.995]",0.19788005731283184,0.058039939548410836
76,"dti_(19.995, 21.995]",0.1740078156438244,0.09578470645061528
77,"dti_(21.995, 23.994]",0.1452159111981582,0.16500733757891572
78,"dti_(23.994, 25.994]",0.13342895633782598,0.20326895198177874
79,"dti_(25.994, 27.993]",0.07209039818378238,0.493493993311214
80,"dti_(27.993, 29.992]",0.07144405064995656,0.4992183627629678
81,"dti_(29.992, 31.992]",0.13716668947858823,0.20096723846369957
82,"dti_(31.992, 33.992]",0.1254978182807814,0.24730323959322809
83,"dti_(33.992, 35.991]",0.10153092322354586,0.3740236301091394
84,"dti_(35.991, 37.991]",0.016737313083960204,0.9019379317908982
